,Unnamed: 0,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork
0,0,Volkswagen Amarok Cd V6 Extreme 3.0 258cv 4x4 At,43733.681462140994,https://auto.mercadolibre.com.ar/MLA-1122979008-amarok-cd-v6-extreme-30-258cv-4x4-at-0km-2023-_JM#position=1&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok CD,2022,v6 Extreme 3.0 258cv 4x4 at,Plateado,Diésel,4,Automática,3.0,Pick-Up
1,1,Volkswagen Amarok Trendline 4x2 Mt 2.0 140cv,21148.798955613576,https://auto.mercadolibre.com.ar/MLA-1122526701-amarok-20-tdi-140-cv-trendline-4x2-hard-work-2023-_JM#position=2&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2022,TRENDLINE 4X2 MT 2.0 140CV,Azul,Diésel,4,Manual,,Pick-Up
2,2,Renault Kangoo Ii Express Confort 5a 1.5 Dci,16266.318537859008,https://auto.mercadolibre.com.ar/MLA-1319616701-renault-kangoo-confort-15-5-asientos-oferta-stock-disponibl-_JM#position=3&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Renault,Kangoo,2023,Ii Express Confort 5a 1.5 Dci,Blanco,Diésel,3,Manual,1.5,Furgón
3,3,Fiat Cronos 1.3 Attractive Mt,10115.926892950392,https://auto.mercadolibre.com.ar/MLA-1319751166-fiat-cronos-attractive-lh2-_JM#position=4&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Attractive Mt,Gris,Nafta,4,Manual,1.3,Sedán
4,4,Fiat Cronos 1.3 Drive Cvt,12062.66318537859,https://auto.mercadolibre.com.ar/MLA-1319872838-fiat-cronos-cvt-lh2-_JM#position=5&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive Cvt,Blanco,Nafta,4,Automática,1.3,Sedán
5,5,Fiat Cronos 1.3 Precision Cvt,12960.835509138382,https://auto.mercadolibre.com.ar/MLA-1319872794-fiat-cronos-drive-lh2-_JM#position=6&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Precision Cvt,Plateado,Nafta,4,Automática,1.3,Sedán
6,6,Chevrolet Tracker 1.2 Turbo At,16318.276762402089,https://auto.mercadolibre.com.ar/MLA-1319782681-chevrolet-tracker-12-0-km-at-2023-stock-fisico-hmc-_JM#position=7&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
7,7,Renault Kangoo Ii Express Emotion 1.6 Sce,13534.464751958225,https://auto.mercadolibre.com.ar/MLA-1319782670-renault-kangoo-full-full-16-nafta-0km-2023-stock-fis-0km-_JM#position=8&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Renault,Kangoo,2023,Ii Express Emotion 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón
8,8,Chevrolet Tracker 1.2 Turbo Premier At,20495.822454308094,https://auto.mercadolibre.com.ar/MLA-1319801891-chevrolet-tracker-premier-12-t-0-km-2023-entrego-ya-hmc-_JM#position=9&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo Premier At,Blanco,Nafta,5,Automática,1.2,SUV
10,10,Chevrolet Tracker 1.2 Turbo At Argentina,16863.96866840731,https://auto.mercadolibre.com.ar/MLA-1319801695-chevrolet-tracker-12t-lt-base-at-0km-okm-stock-2-nt-_JM#position=11&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At argentina,Gris,Nafta,5,Automática,1.2,SUV
11,11,Chevrolet Tracker 1.2 Premier Turbo At,19840.46997389034,https://auto.mercadolibre.com.ar/MLA-1319814462-chevrolet-tracker-12t-ltz-premier-at-0km-okm-stock-2-nt-_JM#position=12&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
12,12,Chevrolet Tracker 1.2 Premier Turbo At,20884.856396866842,https://auto.mercadolibre.com.ar/MLA-1319807938-chevrolet-tracker-12t-premier-at-0km-okm-stock-2-nt-_JM#position=13&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
13,13,Chevrolet Tracker 1.2 Turbo At Argentina,14751.697127937337,https://auto.mercadolibre.com.ar/MLA-1319820885-chevrolet-tracker-12t-lt-base-at-0km-okm-oferta-nt-_JM#position=14&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At argentina,Plateado,Nafta,5,Automática,1.2,SUV
14,14,Chevrolet Tracker 1.2 Ltz Turbo At,17754.30809399478,https://auto.mercadolibre.com.ar/MLA-1319872381-chevrolet-tracker-12t-ltz-premier-at-0km-okm-oferta-nt-_JM#position=15&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Azul,Nafta,5,Automática,1.2,SUV
15,15,Chevrolet Tracker 1.2 Premier Turbo At,19448.82506527415,https://auto.mercadolibre.com.ar/MLA-1319872378-chevrolet-tracker-12t-premier-ltz-at-0km-okm-oferta-nt-_JM#position=16&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Gris,Nafta,5,Automática,1.2,SUV
