,company,model,year,fuel,doors,transmisions,motor,bodywork
0,Volkswagen,Amarok CD,2022,Diésel,4,Automática,3.0,Pick-Up
2,Renault,Kangoo,2023,Diésel,3,Manual,1.5,Furgón
3,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
4,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán
5,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán
6,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
7,Renault,Kangoo,2023,Nafta,3,Manual,1.6,Furgón
8,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
9,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
10,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
11,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
12,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
13,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
14,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
15,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
16,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
17,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
18,Jeep,Compass,2023,Nafta,5,Automática,1.3,SUV
19,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
20,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
21,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
22,Volkswagen,Taos,2023,Nafta,5,Automática,1.4,SUV
23,Fiat,Pulse,2022,Nafta,5,Manual,1.3,SUV
24,Volkswagen,Taos,2023,Nafta,5,Automática,1.4,SUV
25,Volkswagen,Amarok,2023,Diésel,4,Automática,3.0,Pick-Up
26,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán
27,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
28,Volkswagen,Amarok,2023,Diésel,4,Automática,2.0,Pick-Up
29,Chevrolet,Equinox,2023,Nafta,5,Automática,1.5,SUV
30,Renault,Duster,2023,Nafta,5,Manual,1.6,SUV
31,Volkswagen,Taos,2023,Nafta,5,Automática,1.4,SUV
32,Chevrolet,Onix,2023,Nafta,5,Manual,1.2,Hatchback
33,Chevrolet,Tracker,2023,Nafta,5,Automática,1.2,SUV
34,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
35,Volkswagen,Taos,2023,Nafta,5,Automática,1.4,SUV
36,Fiat,Pulse,2023,Nafta,5,Automática,1.3,SUV
37,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
38,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán
39,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
40,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
41,Renault,ALASKAN,2023,Diésel,4,Automática,2.3,Pick-Up
42,Renault,ALASKAN,2023,Diésel,4,Automática,2.3,Pick-Up
43,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
44,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
45,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
46,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
47,Volkswagen,Polo,2023,Nafta,5,Manual,1.6,Hatchback
48,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
49,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
50,Volkswagen,Amarok,2023,Diésel,4,Manual,2.0,Pick-Up
51,Fiat,Pulse,2023,Nafta,5,Automática,1.0,SUV
52,Nissan,Frontier,2023,Diésel,4,Automática,2.3,Pick-Up
53,Fiat,Pulse,2023,Nafta,5,Automática,1.0,SUV
54,Chevrolet,Onix plus,2023,Nafta,4,Manual,1.2,Sedán
55,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
56,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
57,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
58,Nissan,Frontier,2023,Diésel,4,Automática,2.3,Pick-Up
59,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
60,Fiat,Toro,2023,Diésel,4,Automática,2.0,Pick-Up
61,Chevrolet,Cruze,2023,Nafta,4,Automática,1.4,Sedán
62,Chevrolet,Cruze 5,2023,Nafta,5,Automática,1.4,Hatchback
63,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán
