,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork,km
0,Ram 1500 Laramie 5.7 V8 Pick-up Cabina Doble.,U$S52.900,https://auto.mercadolibre.com.ar/MLA-1316649279-dodge-ram-1500-57-dcab-4x4-laramie-2018-_JM#position=1&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,RAM,1500,2018,Laramie 5.7 V8 pick-up cabina doble.,Marrón,Nafta,4,Automática,5.7,Pick-Up,27618 km
1,Jeep Compass 1.3 T270 Sport,U$S33.800,https://auto.mercadolibre.com.ar/MLA-1315100303-jeep-compass-13-t-270-sport-at6-2022-_JM#position=2&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Jeep,Compass,2022,1.3 T270 Sport,Gris oscuro,Nafta,5,Automática,2.4,SUV,500 km
2,Land Rover Discovery 2.7 4 V6 Hse,U$S54.900,https://auto.mercadolibre.com.ar/MLA-1315119428-land-rover-discovery-4-tdv6-hse-2010-_JM#position=3&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Land Rover,Discovery,2010,2.7 4 V6 Hse,Negro,Diésel,4,Automática,2.7,SUV,156000 km
3,Ford Fiesta Kinetic Design 1.6 S Plus,$3.500.000,https://auto.mercadolibre.com.ar/MLA-1312351488-ford-fiesta-16-4p-titanium-kd-2015-_JM#position=4&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Ford,Fiesta Kinetic Design,2015,1.6 S Plus,Azul petróleo,Nafta,5,Manual,1.3,Hatchback,89000 km
4,Peugeot 5008 2.0 Allure Plus Hdi Tiptronic,U$S56.500,https://auto.mercadolibre.com.ar/MLA-1311854372-peugeot-5008-allure-plus-tiptronic-hdi-l17-2023-_JM#position=5&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Peugeot,5008,2023,2.0 Allure Plus Hdi Tiptronic,Gris oscuro,Nafta,5,Automática,2,Monovolumen,510 km
5,Volkswagen Golf 1.4 Bluemotion Techno,U$S22.900,https://auto.mercadolibre.com.ar/MLA-1311957658-volkswagen-golf-vii-14-tsi-comfortline-2016-_JM#position=6&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Volkswagen,Golf,2016,1.4 BLUEMOTION TECHNO,Blanco,Nafta,5,Automática,1.4,Sedán,65796 km
6,Mercedes-benz Clase C 1.8 C250 Avant Edition B.eff At Ll17,U$S25.900,https://auto.mercadolibre.com.ar/MLA-1310117738-mercedes-benz-c-250-edition-c-avantgarde-aut-_JM#position=7&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Mercedes-Benz,Clase C,2014,1.8 C250 Avant Edition B.eff At Ll17,Plateado,Nafta,4,Automática secuencial,2.8,Sedán,68000 km
7,Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,U$S33.900,https://auto.mercadolibre.com.ar/MLA-1309412051-ford-ranger-32-tdi-dc-4x4-_JM#position=8&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv Automática,Negro,Diésel,4,Automática,4,Pick-Up,41200 km
8,Chevrolet Tracker 1.8 Ltz 140cv,$2.200.000,https://auto.mercadolibre.com.ar/MLA-1308084348-chevrolet-tracker-18-ltz-4x2-2014-_JM#position=9&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Chevrolet,Tracker,2014,1.8 Ltz 140cv,Gris,Nafta,5,Manual,Coupé,150000 km,.
9,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,U$S43.500,https://auto.mercadolibre.com.ar/MLA-1305801131-toyota-hilux-sw4-tdi-srx-aut-l21-2018-_JM#position=10&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Toyota,SW4,2018,2.8 Srx 177cv 4x4 7as At,Gris oscuro,Diésel,5,Automática,2.8,SUV,68000 km
10,Toyota Sw4 3.0 Wide Body,U$S21.500,https://auto.mercadolibre.com.ar/MLA-1300110247-toyota-hilux-sw4-td-srv-cu-aut-l05-2008-_JM#position=11&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Toyota,SW4,2008,3.0 Wide Body,Beige,Diésel,5,Automática,3,SUV,190000 km
11,Mercedes-benz Clase A 1.6 A 200 Urban B.efficiency 156cv,U$S20.500,https://auto.mercadolibre.com.ar/MLA-1292442434-mercedes-benz-a-200-blueefficiency-urban-2013-_JM#position=12&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Mercedes-Benz,Clase A,2013,1.6 A 200 Urban B.efficiency 156cv,Blanco,Nafta,5,Manual,1.6,Hatchback,162080 km
12,Volkswagen Up! 1.0 Move Up! 75cv 5 P,$3.349.000,https://auto.mercadolibre.com.ar/MLA-1284273578-volkswagen-up-5-ptas-move-2018-_JM#position=13&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Volkswagen,Up!,2018,1.0 Move Up! 75cv 5 p,Blanco,Nafta,5,Manual,Hatchback,65000 km,.
13,Chery Tiggo 1.6 3 Luxury,$4.500.000,https://auto.mercadolibre.com.ar/MLA-1283545472-chery-tiggo-3-16-4x2-luxury-l17-2018-_JM#position=14&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Chery,Tiggo,2018,1.6 3 Luxury,Blanco,Nafta,5,Automática,1.6,SUV,103000 km
14,Volkswagen Polo 1.6 Msi Trendline,U$S18.400,https://auto.mercadolibre.com.ar/MLA-1220970378-volkswagen-polo-16-msi-trend-2022-_JM#position=15&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Volkswagen,Polo,2022,1.6 Msi Trendline,Blanco,Nafta,5,Manual,1.6,Hatchback,111111 km
15,Toyota Etios 1.5 Xs 5 P,$2.800.000,https://auto.mercadolibre.com.ar/MLA-1156535780-toyota-2015-etios-15-5-ptas-xs-_JM#position=16&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Toyota,Etios,2015,1.5 Xs 5 p,Blanco,Nafta,5,Manual,1.5,Hatchback,83000 km
16,Peugeot 208 1.6 Feline,$4.290.000,https://auto.mercadolibre.com.ar/MLA-1286465915-peugeot-208-16-5p-feline-2018-_JM#position=17&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Peugeot,208,2018,1.6 Feline,Gris,Nafta,5,Manual,1.6,Hatchback,36000 km
17,Volkswagen Vento 2.0 Sportline Tsi 200cv Bi-xenon Dsg,U$S16.500,https://auto.mercadolibre.com.ar/MLA-1286555002-volkswagen-vento-20-t-sportline-dsg-l11-2014-_JM#position=18&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Volkswagen,Vento,2014,2.0 Sportline Tsi 200cv Bi-xenon Dsg,Gris,Nafta,4,Automática,2,Sedán,112000 km
18,Chevrolet S-10 2.8 Ls Cd Tdci 200cv,$6.600.000,https://auto.mercadolibre.com.ar/MLA-1262702857-chevrolet-2018-p-up-s10-28td-dc-4x2-ls-l17-_JM#position=19&search_layout=grid&type=item&tracking_id=ab88a542-c8b5-44dd-8be1-22aec7d1fef8,Chevrolet,S-10,2018,2.8 Ls Cd Tdci 200cv,Gris,Diésel,4,Manual,2.8,Pick-Up,65000 km
