,company,model,year,fuel,doors,transmisions,motor,bodywork,km
0,RAM,1500,2018,Nafta,4,Automática,5.7,Pick-Up,27618.0
1,Jeep,Compass,2022,Nafta,5,Automática,2.4,SUV,500.0
2,Land Rover,Discovery,2010,Diésel,4,Automática,2.7,SUV,156000.0
3,Ford,Fiesta Kinetic Design,2015,Nafta,5,Manual,1.3,Hatchback,89000.0
4,Peugeot,5008,2023,Nafta,5,Automática,2.0,Monovolumen,510.0
5,Volkswagen,Golf,2016,Nafta,5,Automática,1.4,Sedán,65796.0
6,Ford,Ranger,2021,Diésel,4,Automática,4.0,Pick-Up,41200.0
7,Toyota,SW4,2018,Diésel,5,Automática,2.8,SUV,68000.0
8,Toyota,SW4,2008,Diésel,5,Automática,3.0,SUV,190000.0
9,Mercedes-Benz,Clase A,2013,Nafta,5,Manual,1.6,Hatchback,162080.0
10,Chery,Tiggo,2018,Nafta,5,Automática,1.6,SUV,103000.0
11,Volkswagen,Polo,2022,Nafta,5,Manual,1.6,Hatchback,111111.0
12,Toyota,Etios,2015,Nafta,5,Manual,1.5,Hatchback,83000.0
13,Peugeot,208,2018,Nafta,5,Manual,1.6,Hatchback,36000.0
14,Volkswagen,Vento,2014,Nafta,4,Automática,2.0,Sedán,112000.0
15,Chevrolet,S-10,2018,Diésel,4,Manual,2.8,Pick-Up,65000.0
16,Toyota,Etios,2018,Nafta,5,Manual,1.5,Sedán,80000.0
17,Chevrolet,Tracker,2017,Nafta,5,Automática,1.8,SUV,62500.0
18,Toyota,Hilux,2017,Diésel,4,Manual,2.8,Pick-Up,170000.0
19,Ford,Ecosport,2019,Nafta,5,Manual,1.5,SUV,61000.0
20,Dodge,Journey,2018,Nafta,5,Manual,3.6,SUV,60000.0
21,Nissan,Note,2016,Nafta,5,Manual,1.6,Hatchback,57000.0
22,Volkswagen,Amarok,2014,Diésel,4,Manual,2.0,Pick-Up,145000.0
23,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,67000.0
24,Peugeot,4008,2014,Nafta,5,Automática,2.0,SUV,89800.0
25,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,66500.0
26,Volkswagen,Amarok,2014,Diésel,4,Manual,2.0,Pick-Up,144500.0
27,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,66408.0
28,Citroën,C-Elysée,2017,Diésel,4,Manual,1.6,Sedán,68222.0
29,Volkswagen,Amarok,2014,Diésel,4,Manual,2.0,Pick-Up,144411.0
30,Volkswagen,Amarok,2014,Diésel,4,Manual,2.0,Pick-Up,144000.0
31,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,64000.0
32,Volkswagen,Vento,2010,Diésel,4,Automática,2.0,Sedán,119000.0
33,Volkswagen,Amarok,2014,Diésel,4,Manual,2.0,Pick-Up,144500.0
34,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,66500.0
35,Mercedes-Benz,Clase A,2014,Nafta,5,Manual,1.6,Hatchback,52000.0
36,Peugeot,308,2018,Nafta,5,Automática,1.6,Hatchback,52000.0
37,Ford,Focus III,2019,Nafta,5,Manual,1.6,Hatchback,21000.0
38,Renault,Captur,2019,Nafta,5,Manual,2.0,SUV,53000.0
39,Peugeot,2008,2017,Nafta,5,Automática,1.6,SUV,42000.0
40,Chevrolet,Tracker,2016,Nafta,5,Automática,1.8,SUV,59000.0
41,Volkswagen,Fox,2016,Nafta,5,Manual,1.6,Hatchback,89500.0
42,Chevrolet,Onix,2017,Nafta,5,Manual,1.4,Hatchback,64500.0
43,Fiat,500,2014,Nafta,3,Automática,1.4,Sedán,111991.0
44,Toyota,Corolla,2019,Nafta,4,Manual,1.8,Sedán,10000.0
45,Mercedes-Benz,Clase E,2014,Nafta,4,Automática,2.1,Sedán,129681.0
46,Mercedes-Benz,Clase E,2019,Nafta,4,Automática,3.0,Sedán,18594.0
47,Ford,Fiesta Kinetic Design,2014,Nafta,5,Automática,1.6,Hatchback,120000.0
48,Fiat,Cronos,2022,Nafta,4,Automática,1.8,Sedán,15000.0
49,Volkswagen,Amarok,2021,Diésel,4,Automática,3.0,Pick-Up,70000.0
50,Volkswagen,Amarok,2019,Diésel,4,Automática,2.0,Pick-Up,49000.0
51,Ford,Fiesta Kinetic Design,2011,Nafta,5,Manual,1.6,Hatchback,94000.0
52,Ford,Mondeo,2019,Nafta,4,Automática,2.0,Sedán,69000.0
53,Renault,Logan,2014,Nafta,4,Manual,1.6,Sedán,77000.0
54,Volkswagen,Gol Trend,2018,Nafta,5,Manual,1.6,Hatchback,79000.0
55,Volkswagen,Gol Trend,2017,Nafta,5,Manual,1.6,Hatchback,39000.0
56,Peugeot,208,2017,Nafta,5,Manual,1.5,Hatchback,50000.0
57,Renault,Sandero,2017,Nafta,5,Manual,1.6,Hatchback,49000.0
58,Peugeot,208,2018,Nafta,5,Manual,1.6,Hatchback,59000.0
59,Mercedes-Benz,Vito,2019,Diésel,2,Manual,1.6,Furgón,79000.0
60,Toyota,Corolla,2018,Nafta,4,Automática,1.8,Sedán,67000.0
61,Honda,HR-V,2016,Nafta,5,Automática,1.8,SUV,89000.0
62,Chevrolet,Onix,2020,Nafta,5,Manual,1.0,Hatchback,39000.0
63,Citroën,C4 Cactus,2018,Nafta,5,Automática,1.2,SUV,55000.0
64,Volkswagen,Amarok,2013,Diésel,4,Manual,2.0,Pick-Up,189000.0
65,Renault,Duster Oroch,2019,Nafta,4,Manual,1.6,SUV,62000.0
66,Chevrolet,Prisma,2020,Nafta,4,Manual,1.4,Sedán,55000.0
67,Chevrolet,Cruze,2019,Nafta,4,Automática,1.4,Sedán,52000.0
68,DS,DS3 Crossback,2021,Nafta,5,Automática,1.2,Hatchback,15000.0
69,Audi,A1,2016,Nafta,3,Automática,1.4,Hatchback,46000.0
70,Citroën,C4 Lounge,2014,Nafta,4,Automática,1.6,Sedán,109000.0
71,Ford,Ranger,2015,Diésel,4,Automática,3.2,Pick-Up,125000.0
72,Audi,A1,2011,Nafta,3,Automática,1.4,Hatchback,99000.0
73,Fiat,Punto,2012,Nafta,5,Manual,1.6,Hatchback,98000.0
74,Volkswagen,Amarok,2017,Diésel,4,Automática,2.0,Pick-Up,134000.0
75,Nissan,March,2018,Nafta,5,Manual,1.6,Hatchback,46000.0
76,Peugeot,207,2012,Nafta,2,Manual,1.6,Hatchback,99000.0
77,Jeep,Renegade,2017,Nafta,5,Manual,1.8,SUV,62000.0
78,Volkswagen,Amarok,2021,Diésel,4,Automática,3.0,Pick-Up,70000.0
79,Volkswagen,Golf,2017,Nafta,5,Automática,1.4,Hatchback,69000.0
80,Peugeot,Partner,2015,Diésel,3,Manual,1.6,Furgón,45000.0
81,Volkswagen,Amarok,2020,Diésel,4,Manual,2.0,Pick-Up,79000.0
82,Chevrolet,Equinox,2020,Nafta,5,Automática,1.5,SUV,36000.0
83,Chevrolet,Onix,2015,Nafta,5,Manual,1.4,Hatchback,97000.0
84,Audi,A5,2013,Nafta,2,Automática,3.0,Coupé,86000.0
85,Volkswagen,Gol Trend,2015,Nafta,3,Manual,1.6,Hatchback,78000.0
86,Chevrolet,Spin,2014,Nafta/GNC,5,Manual,1.8,Monovolumen,98000.0
87,Hyundai,Tucson,2010,Diésel,5,Manual,2.0,SUV,130000.0
88,Fiat,500,2012,Nafta,3,Manual,1.4,Hatchback,79000.0
89,Volkswagen,Amarok,2019,Diésel,4,Manual,2.0,Pick-Up,86600.0
90,Renault,Duster,2012,Nafta,5,Manual,1.6,SUV,95000.0
91,Kia,K2500,2019,Diésel,2,Manual,2.5,Light Truck,6000.0
92,Nissan,Note,2016,Nafta,5,Manual,1.6,Hatchback,57000.0
93,Ford,Ecosport,2013,Nafta,5,Manual,1.6,SUV,210000.0
94,Toyota,SW4,2019,Diésel,5,Automática,2.8,SUV,84500.0
95,Ford,Fiesta,2012,Nafta,4,Manual,1.6,Sedán,46502.0
96,BMW,Serie 3,2016,Nafta,4,Manual,3.0,Sedán,67000.0
97,Ford,Ranger,2021,Diésel,4,Automática,3.2,Pick-Up,18000.0
98,Volkswagen,Vento,2019,Nafta,4,Automática,1.4,Sedán,47000.0
99,Chevrolet,Corsa Classic,1999,Nafta,4,Manual,1.6,Sedán,64000.0
100,Fiat,Strada,2020,Nafta,3,Manual,1.4,Pick-Up,55000.0
101,Citroën,Aircross,2017,Nafta,5,Manual,1.6,Hatchback,60000.0
102,Renault,Kwid,2021,Nafta,5,Manual,1.0,Hatchback,37000.0
103,Fiat,Cronos,2019,Nafta,4,Manual,1.3,Sedán,30800.0
104,Peugeot,208,2022,Nafta,5,Manual,1.2,Hatchback,1320.0
105,Honda,HR-V,2018,Nafta,5,Automática,1.8,SUV,68000.0
106,Renault,Fluence,2015,Nafta,4,Manual,1.6,Sedán,77500.0
107,Toyota,Hilux,2015,Diésel,4,Manual,2.5,Pick-Up,169000.0
108,Volkswagen,Suran,2011,Nafta,5,Manual,1.6,Monovolumen,133000.0
109,Fiat,Cronos,2021,Nafta,4,Automática,1.8,Sedán,18000.0
110,Chevrolet,Classic,2016,Nafta/GNC,4,Manual,1.4,Sedán,79000.0
111,Renault,Sandero,2019,Nafta,5,Manual,1.6,Hatchback,49000.0
112,Honda,Fit,2012,Nafta,5,Automática,1.4,Hatchback,83000.0
113,Jeep,Renegade,2017,Nafta,5,Manual,1.8,SUV,63000.0
114,Toyota,SW4,2017,Diésel,5,Automática,2.8,SUV,53000.0
115,Peugeot,207,2011,Nafta,4,Manual,1.4,Hatchback,119000.0
116,Ford,Focus III,2013,Nafta,5,Manual,2.0,Hatchback,177000.0
117,Peugeot,308,2014,Nafta,5,Manual,1.6,Hatchback,74000.0
118,Honda,Fit,2012,Nafta,5,Automática,1.4,Hatchback,83000.0
119,Renault,Sandero,2019,Nafta,5,Manual,1.6,Hatchback,49000.0
120,Honda,HR-V,2018,Nafta,5,Automática,1.8,SUV,99000.0
121,Renault,Captur,2019,Nafta,5,Automática,1.6,SUV,40000.0
122,Peugeot,208,2019,Nafta,5,Manual,1.6,Hatchback,58000.0
123,Peugeot,Partner Patagónica,2014,Nafta,4,Manual,1.6,Monovolumen,121000.0
124,Chevrolet,Onix,2020,Nafta,5,Manual,1.0,Hatchback,39000.0
125,Ford,Fiesta Kinetic Design,2017,Nafta,5,Automática,1.6,Hatchback,108000.0
126,Chevrolet,Prisma,2020,Nafta,4,Manual,1.4,Sedán,58000.0
127,Ford,Fiesta Kinetic Design,2015,Nafta,5,Manual,1.6,Hatchback,63000.0
128,Volkswagen,Tiguan,2009,Diésel,5,Automática,2.0,SUV,170000.0
129,Ford,Focus III,2018,Nafta,5,Automática,2.0,Hatchback,42000.0
130,Peugeot,208,2017,Nafta,5,Manual,1.6,Hatchback,88000.0
131,Volkswagen,Virtus,2021,Nafta,4,Automática,1.6,Sedán,67000.0
132,Peugeot,208,2018,Nafta,5,Manual,1.6,Hatchback,39000.0
133,Peugeot,208,2015,Nafta,5,Manual,1.5,Hatchback,77000.0
134,Volkswagen,Amarok,2020,Diésel,4,Manual,2.0,Pick-Up,79000.0
135,Chevrolet,S10,2018,Diésel,4,Manual,2.8,Pick-Up,170000.0
136,Volkswagen,Tiguan Allspace,2019,Nafta,5,Automática,1.4,SUV,37000.0
137,Volkswagen,Up!,2015,Nafta,5,Automática,1.0,Hatchback,95000.0
138,Volkswagen,Gol Trend,2014,Nafta,5,Manual,1.6,Hatchback,62208.0
139,Jeep,Compass,2012,Nafta,5,Automática,2.4,SUV,113000.0
140,Kia,Cerato,2020,Nafta,5,Automática,2.0,Hatchback,86000.0
141,Audi,A1,2012,Nafta,3,Manual,1.4,Hatchback,95000.0
142,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,54000.0
143,Fiat,Tipo,2018,Nafta,4,Automática,1.6,Sedán,69000.0
144,Chevrolet,Agile,2017,Nafta,5,Manual,1.4,Hatchback,64000.0
145,Chevrolet,Trailblazer,2021,Diésel,5,Automática,2.8,SUV,23000.0
146,Nissan,Versa,2019,Nafta,4,Automática,1.6,Sedán,50000.0
147,Chery,Tiggo 2,2018,Nafta,5,Manual,1.5,SUV,59000.0
148,Volkswagen,Passat,2017,Nafta,4,Automática,2.0,Sedán,59000.0
149,Ford,Focus III,2015,Nafta,5,Manual,1.6,Hatchback,105200.0
150,Chevrolet,Cruze II,2019,Nafta,5,Automática,1.4,Hatchback,57000.0
151,Peugeot,307,2011,Nafta,5,Manual,2.0,Hatchback,88000.0
152,Toyota,Corolla,2022,Nafta,4,Manual,1.8,Sedán,17000.0
153,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,5000.0
154,Honda,Fit,2010,Nafta,5,Automática,1.5,Hatchback,140000.0
155,BMW,Serie 1,2014,Nafta,5,Manual,1.6,Hatchback,70000.0
156,Renault,Duster Oroch,2019,Nafta,4,Manual,1.6,SUV,87000.0
157,Honda,CR-V,2012,Nafta,5,Automática,2.4,SUV,125000.0
158,Audi,Q5,2013,Nafta,5,Automática,2.0,SUV,99000.0
159,Volkswagen,Fox,2012,Nafta,3,Manual,1.6,Hatchback,129000.0
160,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback,500.0
161,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback,500.0
162,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback,500.0
163,Audi,A3 Sportback,2011,Nafta,5,Automática,2.0,Hatchback,89000.0
164,Chevrolet,Cruze,2011,Nafta,5,Manual,1.8,Hatchback,95000.0
165,Nissan,Tiida,2011,Nafta,4,Manual,1.8,Sedán,139000.0
166,Chevrolet,Onix,2017,Nafta,5,Manual,1.4,Hatchback,90000.0
167,Chevrolet,S10,2017,Diésel,4,Manual,2.8,Pick-Up,98000.0
168,Volkswagen,Suran,2013,Nafta,5,Manual,1.6,Monovolumen,118000.0
169,Chevrolet,Cruze,2015,Diésel,5,Automática,2.0,Hatchback,63000.0
170,Toyota,SW4,2011,Diésel,5,Manual,3.0,SUV,162000.0
171,Peugeot,207,2009,Nafta,5,Manual,1.4,Hatchback,89000.0
172,Toyota,Etios,2013,Nafta,5,Manual,1.5,Hatchback,106000.0
173,Audi,S3,2012,Nafta,5,Manual,2.0,Hatchback,79000.0
174,Renault,Kangoo,2010,Nafta/GNC,3,Manual,1.6,Furgón,148000.0
175,Mercedes-Benz,Clase C,2006,Nafta,4,Manual,2.0,Sedán,158000.0
176,Volkswagen,Gol,2013,Nafta,3,Manual,1.4,Hatchback,94000.0
177,Volkswagen,Virtus,2022,Nafta,4,Manual,1.6,Sedán,500.0
178,BMW,Serie 1,2016,Nafta,5,Automática,1.6,Hatchback,95000.0
179,Peugeot,208,2021,Nafta,5,Automática,1.6,Hatchback,26000.0
180,Dodge,Journey,2011,Nafta,5,Automática,2.4,SUV,138000.0
181,Citroën,Aircross,2011,Nafta,5,Manual,1.6,Hatchback,94000.0
182,Volkswagen,Up!,2016,Nafta,3,Manual,1.0,Hatchback,117000.0
183,Volkswagen,Amarok,2018,Diésel,4,Automática,3.0,Pick-Up,52000.0
184,Renault,Duster,2018,Nafta,5,Manual,1.6,SUV,86000.0
185,Ford,Focus III,2017,Nafta,5,Automática,2.0,Hatchback,89000.0
186,Renault,Sandero Stepway,2013,Nafta,5,Manual,1.6,Hatchback,151000.0
187,Renault,Duster Oroch,2021,Nafta,5,Manual,2.0,SUV,14000.0
188,Volkswagen,Up!,2019,Nafta,5,Manual,1.0,Hatchback,70000.0
189,Ford,Ranger,2014,Diésel,4,Manual,3.2,Pick-Up,115000.0
